Model,Accuracy,AUC Score,CV Mean,CV Std
Logistic Regression,0.8518518518518519,0.898611111111111,0.8334038054968287,0.07538295035286785
Random Forest,0.8333333333333334,0.8666666666666666,0.8149048625792812,0.054662918246131585
SVM,0.8148148148148148,0.8861111111111111,0.6342494714587738,0.061318072031450316
Naive Bayes,0.8518518518518519,0.8930555555555555,0.8564482029598309,0.05962694688448416
KNN,0.7962962962962963,0.875,0.6204016913319239,0.05586798269029272
Decision Tree,0.7962962962962963,0.8,0.7497885835095137,0.060258892250580266
Gradient Boosting,0.8148148148148148,0.8861111111111112,0.7965116279069767,0.07903556031612292
Ensemble,0.8518518518518519,0.8819444444444445,0.8472515856236786,0.06983947847424497
